user_id,group,device,age_group,session_duration_sec,add_to_cart,checkout,purchased,order_value
U02341,control,desktop,45+,145,1,1,0,0
U05528,treatment,mobile,25-34,120,1,1,1,174955
U06744,treatment,tablet,35-44,60,0,0,0,0
U04004,control,mobile,25-34,65,0,0,0,0
U01124,control,desktop,45+,121,0,0,0,0
U08710,treatment,mobile,25-34,142,1,1,1,188056
U04050,control,mobile,25-34,58,1,0,0,0
U07641,treatment,mobile,18-24,113,0,0,0,0
U00766,control,mobile,35-44,120,0,0,0,0
U02345,control,tablet,25-34,143,1,1,0,0
U04072,control,desktop,35-44,51,0,0,0,0
U07217,treatment,mobile,45+,121,0,0,0,0
U04217,control,mobile,25-34,100,0,0,0,0
U07953,treatment,mobile,18-24,136,1,1,1,215259
U05971,treatment,desktop,18-24,84,0,0,0,0
U03351,control,mobile,35-44,133,1,1,1,232073
U04696,control,desktop,25-34,71,0,0,0,0
U03400,control,mobile,45+,81,0,0,0,0
U04082,control,mobile,25-34,86,1,0,0,0
U09150,treatment,mobile,18-24,124,1,0,0,0
U01225,control,mobile,18-24,113,0,0,0,0
U06293,treatment,mobile,25-34,117,1,1,1,185341
U03123,control,mobile,18-24,117,1,0,0,0
U00511,control,desktop,18-24,90,0,0,0,0
U05795,treatment,desktop,25-34,152,0,0,0,0
U08182,treatment,mobile,35-44,117,0,0,0,0
U09418,treatment,desktop,35-44,48,0,0,0,0
U00097,control,mobile,35-44,104,0,0,0,0
U06682,treatment,mobile,18-24,117,0,0,0,0
U01513,control,tablet,35-44,111,0,0,0,0
U08792,treatment,mobile,35-44,138,0,0,0,0
U00120,control,mobile,18-24,124,0,0,0,0
U07792,treatment,mobile,35-44,133,1,1,1,210220
U06518,treatment,mobile,45+,57,0,0,0,0
U00034,control,tablet,25-34,135,1,0,0,0
U07888,treatment,mobile,35-44,151,0,0,0,0
U06831,treatment,desktop,18-24,162,0,0,0,0
U05422,treatment,desktop,25-34,83,1,1,1,177991
U01069,control,mobile,18-24,111,0,0,0,0
U01348,control,mobile,45+,65,0,0,0,0
U04748,control,mobile,25-34,81,0,0,0,0
U06006,treatment,mobile,25-34,148,0,0,0,0
U06040,treatment,tablet,35-44,94,0,0,0,0
U03818,control,desktop,25-34,72,0,0,0,0
U08447,treatment,mobile,45+,155,1,0,0,0
U05270,treatment,desktop,18-24,122,1,0,0,0
U06898,treatment,desktop,25-34,60,0,0,0,0
U05310,treatment,mobile,25-34,125,0,0,0,0
U00032,control,mobile,25-34,135,1,0,0,0
U05675,treatment,mobile,18-24,153,1,0,0,0
U04387,control,tablet,45+,102,0,0,0,0
U00030,control,mobile,18-24,50,1,1,1,221691
U04203,control,mobile,25-34,90,1,0,0,0
U07508,treatment,mobile,45+,141,1,1,1,314881
U00736,control,desktop,25-34,59,0,0,0,0
U02068,control,mobile,25-34,94,0,0,0,0
U00107,control,mobile,25-34,98,1,0,0,0
U09645,treatment,mobile,25-34,122,0,0,0,0
U08895,treatment,mobile,35-44,77,0,0,0,0
U08021,treatment,mobile,18-24,130,0,0,0,0
U02233,control,desktop,18-24,69,0,0,0,0
U00994,control,mobile,25-34,62,0,0,0,0
U09413,treatment,desktop,25-34,54,1,1,1,144148
U07059,treatment,desktop,18-24,117,0,0,0,0
U06790,treatment,desktop,25-34,81,0,0,0,0
U00361,control,mobile,25-34,79,1,0,0,0
U00305,control,desktop,25-34,83,1,0,0,0
U02628,control,desktop,25-34,66,0,0,0,0
U08966,treatment,desktop,18-24,65,1,1,1,196235
U04514,control,desktop,25-34,113,0,0,0,0
U05911,treatment,desktop,18-24,136,1,1,1,149848
U08314,treatment,tablet,25-34,124,0,0,0,0
U03101,control,mobile,35-44,59,0,0,0,0
U05704,treatment,mobile,45+,110,0,0,0,0
U03899,control,mobile,18-24,146,0,0,0,0
U05441,treatment,mobile,25-34,149,0,0,0,0
U07931,treatment,mobile,18-24,117,1,1,0,0
U00622,control,mobile,45+,101,1,0,0,0
U07236,treatment,desktop,25-34,59,1,1,1,169880
U02499,control,tablet,18-24,86,0,0,0,0
U00714,control,mobile,45+,89,0,0,0,0
U08404,treatment,mobile,18-24,41,1,1,0,0
U02856,control,mobile,25-34,94,1,0,0,0
U04270,control,tablet,18-24,97,0,0,0,0
U02909,control,mobile,25-34,75,1,1,1,298060
U08081,treatment,mobile,25-34,144,1,1,0,0
U04517,control,mobile,25-34,78,1,1,1,107651
U01262,control,desktop,35-44,91,1,1,1,239959
U03161,control,mobile,45+,59,1,1,0,0
U00971,control,desktop,35-44,126,0,0,0,0
U03913,control,mobile,35-44,86,0,0,0,0
U05199,treatment,tablet,18-24,138,0,0,0,0
U08847,treatment,mobile,18-24,114,0,0,0,0
U00260,control,mobile,35-44,72,1,0,0,0
U03791,control,mobile,35-44,77,0,0,0,0
U09203,treatment,desktop,25-34,122,0,0,0,0
U00488,control,mobile,25-34,106,1,0,0,0
U07908,treatment,mobile,35-44,46,0,0,0,0
U00519,control,tablet,18-24,78,1,0,0,0
U08343,treatment,desktop,25-34,123,1,1,1,191167
U00312,control,mobile,25-34,114,0,0,0,0
U03232,control,desktop,25-34,106,1,1,1,196054
U07933,treatment,mobile,25-34,118,1,0,0,0
U07458,treatment,tablet,35-44,88,0,0,0,0
U09784,treatment,mobile,18-24,78,1,0,0,0
U05184,treatment,mobile,35-44,111,0,0,0,0
U08077,treatment,mobile,18-24,81,0,0,0,0
U06502,treatment,desktop,45+,153,1,0,0,0
U06791,treatment,mobile,25-34,151,1,1,1,180688
U07773,treatment,mobile,25-34,86,1,0,0,0
U02738,control,mobile,18-24,59,0,0,0,0
U07842,treatment,mobile,25-34,122,0,0,0,0
U06262,treatment,desktop,25-34,80,1,0,0,0
U08206,treatment,mobile,18-24,90,0,0,0,0
U01248,control,mobile,35-44,80,0,0,0,0
U09336,treatment,mobile,35-44,114,1,0,0,0
U04195,control,desktop,35-44,114,0,0,0,0
U08001,treatment,mobile,45+,124,0,0,0,0
U07378,treatment,mobile,35-44,83,1,1,1,203258
U03435,control,desktop,45+,52,0,0,0,0
U05382,treatment,desktop,18-24,141,0,0,0,0
U00959,control,mobile,35-44,46,0,0,0,0
U00417,control,mobile,25-34,89,0,0,0,0
U05742,treatment,mobile,25-34,150,1,0,0,0
U06728,treatment,mobile,35-44,106,0,0,0,0
U04382,control,mobile,25-34,80,0,0,0,0
U05197,treatment,mobile,25-34,134,1,1,1,283903
U01113,control,mobile,45+,19,0,0,0,0
U02689,control,mobile,25-34,106,0,0,0,0
U06473,treatment,mobile,25-34,159,1,1,0,0
U08820,treatment,mobile,35-44,113,0,0,0,0
U07808,treatment,desktop,25-34,96,0,0,0,0
U03411,control,mobile,25-34,91,0,0,0,0
U00081,control,desktop,18-24,67,1,0,0,0
U04614,control,mobile,18-24,120,1,1,0,0
U01374,control,mobile,45+,125,0,0,0,0
U01510,control,desktop,25-34,135,0,0,0,0
U06443,treatment,mobile,25-34,146,1,1,0,0
U03071,control,desktop,25-34,106,1,1,1,223429
U03016,control,mobile,35-44,94,0,0,0,0
U04823,control,mobile,25-34,66,0,0,0,0
U07822,treatment,mobile,18-24,91,1,1,0,0
U00093,control,desktop,35-44,144,0,0,0,0
U09421,treatment,desktop,18-24,123,0,0,0,0
U06600,treatment,mobile,18-24,134,1,1,0,0
U04443,control,mobile,18-24,73,0,0,0,0
U07602,treatment,tablet,18-24,115,0,0,0,0
U03835,control,mobile,45+,71,0,0,0,0
U09702,treatment,mobile,25-34,149,0,0,0,0
U04322,control,tablet,35-44,89,0,0,0,0
U03394,control,mobile,35-44,150,1,1,1,238282
U04752,control,mobile,18-24,54,0,0,0,0
U07229,treatment,desktop,25-34,145,0,0,0,0
U09191,treatment,mobile,35-44,111,1,1,0,0
U02361,control,mobile,35-44,96,0,0,0,0
U01148,control,desktop,25-34,93,1,0,0,0
U05666,treatment,desktop,25-34,119,0,0,0,0
U08075,treatment,mobile,25-34,120,0,0,0,0
U04943,control,desktop,18-24,103,0,0,0,0
U03663,control,mobile,18-24,59,1,1,1,63790
U01563,control,desktop,18-24,92,1,0,0,0
U04113,control,mobile,25-34,75,1,1,0,0
U09050,treatment,desktop,35-44,152,0,0,0,0
U09276,treatment,desktop,45+,141,0,0,0,0
U08538,treatment,mobile,25-34,119,0,0,0,0
U00795,control,mobile,25-34,93,0,0,0,0
U05854,treatment,mobile,18-24,63,1,0,0,0
U07619,treatment,desktop,18-24,105,1,0,0,0
U01594,control,mobile,35-44,106,0,0,0,0
U07418,treatment,mobile,25-34,124,0,0,0,0
U05267,treatment,desktop,25-34,126,0,0,0,0
U07147,treatment,mobile,18-24,107,0,0,0,0
U00089,control,desktop,25-34,104,0,0,0,0
U08695,treatment,mobile,18-24,110,0,0,0,0
U09732,treatment,mobile,45+,127,0,0,0,0
U09446,treatment,tablet,18-24,66,1,0,0,0
U06754,treatment,mobile,18-24,115,0,0,0,0
U03502,control,desktop,25-34,73,0,0,0,0
U02234,control,desktop,25-34,86,0,0,0,0
U02803,control,tablet,45+,82,1,1,1,133647
U04424,control,desktop,25-34,82,1,1,0,0
U05663,treatment,mobile,35-44,83,0,0,0,0
U07170,treatment,desktop,25-34,93,0,0,0,0
U08337,treatment,desktop,45+,106,0,0,0,0
U02148,control,mobile,18-24,101,0,0,0,0
U07969,treatment,mobile,25-34,148,1,1,0,0
U06551,treatment,mobile,25-34,75,0,0,0,0
U07643,treatment,desktop,25-34,115,0,0,0,0
U06164,treatment,mobile,25-34,124,0,0,0,0
U01495,control,desktop,45+,100,0,0,0,0
U07696,treatment,desktop,18-24,111,1,1,1,276253
U07094,treatment,desktop,45+,147,0,0,0,0
U01409,control,mobile,25-34,101,1,1,1,288135
U06691,treatment,desktop,25-34,125,0,0,0,0
U03401,control,mobile,25-34,101,1,1,0,0
U00109,control,mobile,35-44,85,0,0,0,0
U05636,treatment,mobile,25-34,171,1,0,0,0
U08482,treatment,desktop,25-34,67,0,0,0,0
U06604,treatment,mobile,25-34,89,1,1,0,0
U01091,control,tablet,25-34,143,0,0,0,0
U05560,treatment,desktop,25-34,113,0,0,0,0
U09412,treatment,mobile,18-24,107,0,0,0,0
U08143,treatment,mobile,35-44,93,0,0,0,0
U08664,treatment,desktop,25-34,121,0,0,0,0
U06596,treatment,desktop,25-34,93,1,0,0,0
U00624,control,mobile,35-44,64,0,0,0,0
U06871,treatment,mobile,45+,64,0,0,0,0
U04814,control,mobile,35-44,121,1,0,0,0
U06553,treatment,tablet,35-44,114,0,0,0,0
U07530,treatment,desktop,25-34,97,1,1,0,0
U05796,treatment,mobile,25-34,104,0,0,0,0
U07437,treatment,mobile,18-24,171,1,1,1,219807
U04218,control,mobile,45+,109,1,0,0,0
U05941,treatment,mobile,25-34,113,1,1,1,206305
U08501,treatment,mobile,18-24,157,1,1,1,123559
U06429,treatment,desktop,18-24,104,1,1,0,0
U06827,treatment,mobile,25-34,115,0,0,0,0
U04131,control,mobile,18-24,107,0,0,0,0
U07802,treatment,mobile,25-34,127,0,0,0,0
U07754,treatment,mobile,18-24,121,1,1,1,204773
U04722,control,mobile,25-34,94,0,0,0,0
U01651,control,mobile,18-24,105,0,0,0,0
U04141,control,mobile,25-34,104,0,0,0,0
U01618,control,desktop,25-34,130,0,0,0,0
U02030,control,desktop,18-24,111,0,0,0,0
U08518,treatment,desktop,18-24,80,0,0,0,0
U04576,control,mobile,25-34,136,0,0,0,0
U03993,control,desktop,25-34,67,1,1,0,0
U07377,treatment,desktop,25-34,127,1,1,1,202058
U06150,treatment,mobile,25-34,166,0,0,0,0
U04909,control,desktop,18-24,83,0,0,0,0
U05027,treatment,desktop,25-34,58,0,0,0,0
U08261,treatment,tablet,25-34,127,1,1,1,165865
U04732,control,mobile,35-44,91,0,0,0,0
U07549,treatment,mobile,25-34,82,0,0,0,0
U08135,treatment,desktop,45+,119,0,0,0,0
U01607,control,mobile,18-24,91,0,0,0,0
U04774,control,desktop,25-34,89,0,0,0,0
U08110,treatment,desktop,45+,93,0,0,0,0
U06952,treatment,mobile,25-34,60,0,0,0,0
U06005,treatment,tablet,18-24,132,0,0,0,0
U07729,treatment,mobile,18-24,105,0,0,0,0
U03542,control,desktop,25-34,73,1,1,1,172112
U00389,control,desktop,25-34,75,0,0,0,0
U01795,control,mobile,25-34,88,1,0,0,0
U08732,treatment,mobile,25-34,87,0,0,0,0
U04920,control,mobile,25-34,132,0,0,0,0
U05538,treatment,desktop,35-44,58,0,0,0,0
U03873,control,mobile,25-34,112,0,0,0,0
U08869,treatment,desktop,45+,106,0,0,0,0
U02255,control,desktop,25-34,97,0,0,0,0
U03413,control,mobile,25-34,69,0,0,0,0
U05460,treatment,mobile,25-34,71,1,1,1,162878
U04956,control,desktop,25-34,40,1,1,1,190236
U07397,treatment,desktop,25-34,114,0,0,0,0
U05415,treatment,mobile,25-34,96,0,0,0,0
U07400,treatment,mobile,18-24,152,1,0,0,0
U07415,treatment,mobile,18-24,127,1,1,1,111559
U09101,treatment,desktop,25-34,127,0,0,0,0
U04852,control,mobile,45+,160,1,0,0,0
U02026,control,mobile,25-34,79,0,0,0,0
U02616,control,mobile,25-34,123,0,0,0,0
U07389,treatment,mobile,18-24,141,1,1,0,0
U02927,control,desktop,35-44,83,1,1,1,246178
U01122,control,tablet,18-24,143,1,0,0,0
U02911,control,mobile,35-44,73,0,0,0,0
U08147,treatment,mobile,35-44,107,1,1,0,0
U07384,treatment,mobile,18-24,91,1,1,0,0
U03483,control,mobile,45+,52,0,0,0,0
U00796,control,desktop,35-44,122,1,1,1,173227
U01576,control,mobile,35-44,95,0,0,0,0
U06177,treatment,mobile,18-24,95,1,1,1,153110
U06267,treatment,desktop,35-44,88,0,0,0,0
U02459,control,mobile,18-24,84,1,0,0,0
U03313,control,desktop,18-24,115,1,1,1,172865
U01254,control,mobile,18-24,112,0,0,0,0
U06835,treatment,desktop,25-34,142,0,0,0,0
U08795,treatment,mobile,18-24,151,1,1,1,151874
U03838,control,mobile,25-34,153,0,0,0,0
U04399,control,mobile,25-34,71,1,1,1,132739
U03596,control,desktop,25-34,93,1,0,0,0
U06622,treatment,tablet,25-34,138,0,0,0,0
U08383,treatment,mobile,25-34,111,1,1,1,240374
U02125,control,tablet,25-34,117,0,0,0,0
U03239,control,desktop,25-34,78,1,1,1,134384
U05404,treatment,mobile,35-44,93,0,0,0,0
U05999,treatment,mobile,18-24,99,0,0,0,0
U05939,treatment,desktop,25-34,74,0,0,0,0
U02046,control,desktop,25-34,41,1,0,0,0
U01579,control,desktop,25-34,98,0,0,0,0
U00015,control,mobile,18-24,84,0,0,0,0
U02674,control,mobile,25-34,107,0,0,0,0
U07017,treatment,mobile,45+,142,1,1,0,0
U08721,treatment,mobile,18-24,144,0,0,0,0
U08850,treatment,desktop,25-34,142,1,1,0,0
U04813,control,mobile,18-24,91,0,0,0,0
U01085,control,tablet,18-24,88,0,0,0,0
U04984,control,desktop,45+,100,1,0,0,0
U07156,treatment,mobile,25-34,131,1,1,0,0
U02885,control,mobile,18-24,142,0,0,0,0
U00334,control,mobile,25-34,77,0,0,0,0
U07205,treatment,desktop,35-44,154,1,1,1,218878
U04368,control,mobile,35-44,113,0,0,0,0
U03080,control,tablet,25-34,106,0,0,0,0
U07204,treatment,mobile,18-24,124,0,0,0,0
U09910,treatment,mobile,35-44,112,0,0,0,0
U08865,treatment,mobile,18-24,126,1,1,1,156865
U00264,control,mobile,18-24,94,0,0,0,0
U04338,control,desktop,45+,72,1,1,0,0
U08896,treatment,tablet,25-34,86,0,0,0,0
U08448,treatment,mobile,18-24,143,1,1,1,236725
U05904,treatment,mobile,18-24,108,0,0,0,0
U01499,control,mobile,18-24,79,0,0,0,0
U04191,control,desktop,45+,112,0,0,0,0
U07486,treatment,desktop,35-44,49,0,0,0,0
U09644,treatment,mobile,18-24,71,0,0,0,0
U08311,treatment,mobile,45+,105,1,0,0,0
U07591,treatment,mobile,25-34,103,1,0,0,0
U00501,control,desktop,25-34,102,0,0,0,0
U09156,treatment,mobile,25-34,147,1,0,0,0
U09415,treatment,mobile,25-34,155,0,0,0,0
U03096,control,desktop,45+,102,0,0,0,0
U04632,control,mobile,25-34,78,0,0,0,0
U00368,control,desktop,25-34,62,1,1,1,261601
U04059,control,desktop,18-24,70,0,0,0,0
U08175,treatment,mobile,35-44,134,1,0,0,0
U04631,control,mobile,18-24,95,0,0,0,0
U06071,treatment,mobile,25-34,33,0,0,0,0
U02665,control,desktop,25-34,163,1,1,1,124596
U01027,control,desktop,35-44,54,0,0,0,0
U05909,treatment,mobile,25-34,112,1,0,0,0
U05051,treatment,mobile,18-24,140,0,0,0,0
U06329,treatment,desktop,18-24,91,1,1,1,203413
U09734,treatment,mobile,25-34,154,0,0,0,0
U01692,control,mobile,18-24,85,0,0,0,0
U00674,control,mobile,25-34,131,0,0,0,0
U05573,treatment,mobile,25-34,137,1,0,0,0
U05767,treatment,tablet,25-34,122,1,1,0,0
U05157,treatment,mobile,35-44,117,1,0,0,0
U00734,control,mobile,25-34,129,1,0,0,0
U03527,control,tablet,25-34,10,0,0,0,0
U00569,control,desktop,35-44,58,0,0,0,0
U09188,treatment,mobile,25-34,167,1,1,1,115542
U02923,control,desktop,18-24,47,1,0,0,0
U07912,treatment,mobile,18-24,117,1,0,0,0
U01559,control,desktop,35-44,126,0,0,0,0
U00102,control,desktop,25-34,79,0,0,0,0
U03008,control,mobile,18-24,105,0,0,0,0
U07202,treatment,mobile,18-24,99,1,0,0,0
U00304,control,desktop,35-44,70,0,0,0,0
U00077,control,desktop,25-34,65,0,0,0,0
U06755,treatment,mobile,25-34,85,1,1,1,296512
U08630,treatment,mobile,35-44,71,1,0,0,0
U01209,control,mobile,25-34,140,0,0,0,0
U07743,treatment,mobile,18-24,127,1,1,0,0
U08215,treatment,mobile,35-44,120,0,0,0,0
U08945,treatment,mobile,35-44,144,1,1,1,59904
U08414,treatment,mobile,18-24,152,0,0,0,0
U01776,control,mobile,18-24,139,0,0,0,0
U03474,control,desktop,18-24,87,0,0,0,0
U00484,control,desktop,35-44,132,0,0,0,0
U02190,control,desktop,25-34,140,0,0,0,0
U00347,control,desktop,18-24,95,1,0,0,0
U05482,treatment,mobile,25-34,149,0,0,0,0
U08362,treatment,tablet,18-24,109,1,1,1,156919
U01473,control,desktop,25-34,77,1,0,0,0
U05101,treatment,mobile,35-44,109,1,1,1,112511
U06766,treatment,mobile,18-24,105,0,0,0,0
U08707,treatment,mobile,45+,109,0,0,0,0
U04930,control,desktop,35-44,61,0,0,0,0
U06330,treatment,mobile,25-34,107,0,0,0,0
U02610,control,mobile,18-24,61,1,0,0,0
U00004,control,mobile,25-34,59,1,0,0,0
U02214,control,tablet,25-34,97,1,0,0,0
U04828,control,mobile,25-34,85,0,0,0,0
U00857,control,mobile,18-24,80,1,1,1,92148
U06978,treatment,mobile,25-34,133,0,0,0,0
U05886,treatment,mobile,18-24,78,1,0,0,0
U00625,control,desktop,18-24,42,0,0,0,0
U00291,control,mobile,18-24,113,0,0,0,0
U02019,control,mobile,25-34,89,0,0,0,0
U00669,control,mobile,18-24,108,0,0,0,0
U08922,treatment,mobile,18-24,108,0,0,0,0
U08265,treatment,mobile,18-24,105,0,0,0,0
U09697,treatment,desktop,18-24,85,0,0,0,0
U01632,control,mobile,18-24,131,1,1,1,176915
U05171,treatment,mobile,35-44,95,0,0,0,0
U07206,treatment,mobile,25-34,147,1,1,1,116865
U02523,control,mobile,25-34,95,0,0,0,0
U02216,control,mobile,25-34,98,1,1,0,0
U06969,treatment,mobile,18-24,61,0,0,0,0
U06497,treatment,mobile,25-34,46,1,0,0,0
U06214,treatment,mobile,25-34,138,1,1,1,146159
U07033,treatment,mobile,25-34,127,0,0,0,0
U07421,treatment,tablet,35-44,153,0,0,0,0
U01108,control,desktop,18-24,124,0,0,0,0
U00451,control,desktop,18-24,49,0,0,0,0
U06290,treatment,desktop,18-24,126,1,0,0,0
U09967,treatment,mobile,18-24,190,0,0,0,0
U00136,control,mobile,25-34,154,0,0,0,0
U01786,control,desktop,35-44,124,0,0,0,0
U03405,control,desktop,25-34,65,0,0,0,0
U02907,control,tablet,18-24,77,0,0,0,0
U08305,treatment,mobile,18-24,151,0,0,0,0
U07493,treatment,desktop,18-24,166,0,0,0,0
U06101,treatment,mobile,18-24,103,0,0,0,0
U04505,control,mobile,25-34,26,0,0,0,0
U05054,treatment,mobile,18-24,132,1,0,0,0
U05206,treatment,mobile,25-34,96,1,0,0,0
U04081,control,desktop,25-34,55,0,0,0,0
U06919,treatment,tablet,18-24,114,0,0,0,0
U06803,treatment,mobile,35-44,64,0,0,0,0
U05207,treatment,desktop,18-24,139,0,0,0,0
U00533,control,tablet,25-34,75,0,0,0,0
U04831,control,desktop,25-34,42,1,0,0,0
U04039,control,desktop,35-44,75,1,1,1,244358
U04085,control,mobile,25-34,114,0,0,0,0
U03205,control,desktop,25-34,115,1,1,1,167083
U07111,treatment,mobile,25-34,106,0,0,0,0
U00331,control,mobile,18-24,95,0,0,0,0
U04958,control,desktop,35-44,101,0,0,0,0
U03034,control,mobile,18-24,98,0,0,0,0
U07685,treatment,mobile,35-44,76,1,0,0,0
U01598,control,mobile,18-24,116,1,1,1,155416
U09920,treatment,mobile,18-24,126,1,0,0,0
U03598,control,mobile,25-34,75,0,0,0,0
U09039,treatment,tablet,45+,98,0,0,0,0
U08002,treatment,desktop,18-24,110,0,0,0,0
U00591,control,mobile,25-34,132,1,0,0,0
U00648,control,desktop,35-44,130,1,0,0,0
U09103,treatment,desktop,25-34,175,0,0,0,0
U08016,treatment,mobile,25-34,88,0,0,0,0
U03772,control,desktop,18-24,95,0,0,0,0
U09040,treatment,mobile,25-34,106,1,0,0,0
U05083,treatment,desktop,25-34,123,0,0,0,0
U07883,treatment,mobile,35-44,100,1,0,0,0
U09363,treatment,mobile,18-24,83,0,0,0,0
U04211,control,mobile,45+,109,0,0,0,0
U08835,treatment,desktop,25-34,150,0,0,0,0
U08700,treatment,desktop,25-34,95,0,0,0,0
U01796,control,mobile,18-24,71,1,0,0,0
U02587,control,mobile,25-34,87,0,0,0,0
U08356,treatment,mobile,25-34,139,1,1,1,194775
U02317,control,mobile,18-24,121,0,0,0,0
U04186,control,desktop,35-44,141,0,0,0,0
U08828,treatment,mobile,45+,112,0,0,0,0
